timestamp;source;destination;port_source;port_destination;details;protocole;flags;length
11:42:29.649118;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 146144:147592, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649120;mauves.univ-st-etienne.fr.https;BP-Linux8.40678;;;Flags [.], seq 107626:109074, ack 2875, win 286, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649121;mauves.univ-st-etienne.fr.https;BP-Linux8.40678;;;Flags [.], seq 109074:110522, ack 2875, win 286, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649123;mauves.univ-st-etienne.fr.https;BP-Linux8.40678;;;Flags [.], seq 110522:111970, ack 2875, win 286, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649308;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 33192:34640, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649312;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 34640, win 794, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649318;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 34640:36088, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649321;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 36088, win 817, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649322;mauves.univ-st-etienne.fr.https;BP-Linux8.40678;;;Flags [.], seq 111970:113418, ack 2875, win 286, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649323;mauves.univ-st-etienne.fr.https;BP-Linux8.40678;;;Flags [.], seq 113418:114866, ack 2875, win 286, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649414;mauves.univ-st-etienne.fr.https;BP-Linux8.40678;;;Flags [.], seq 114866:116314, ack 2875, win 286, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649417;mauves.univ-st-etienne.fr.https;BP-Linux8.40678;;;Flags [.], seq 116314:117762, ack 2875, win 286, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649478;mauves.univ-st-etienne.fr.https;BP-Linux8.40678;;;Flags [.], seq 117762:119210, ack 2875, win 286, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649480;mauves.univ-st-etienne.fr.https;BP-Linux8.40678;;;Flags [.], seq 119210:120658, ack 2875, win 286, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649481;mauves.univ-st-etienne.fr.https;BP-Linux8.40678;;;Flags [.], seq 120658:122106, ack 2875, win 286, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649483;mauves.univ-st-etienne.fr.https;BP-Linux8.40678;;;Flags [.], seq 122106:123554, ack 2875, win 286, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649532;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 36088:37536, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649535;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 37536, win 839, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649834;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 37536:38984, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649839;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 38984, win 862, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
